DISTRICT NAME,DISTRICT NUMBER,COUNTY NUMBER AND NAME,EDUCATION SERVICE CENTER REGION,DISTRICT ACCOUNTABILITY RATINGS,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STUDENTS: % AFRICAN AMERICAN,STUDENTS: % HISPANIC,STUDENTS: % WHITE,STUDENTS: % AMERICAN INDIAN,STUDENTS: % ASIAN,STUDENTS: % PACIFIC ISLANDER,STUDENTS: % TWO OR MORE RACES,STUDENTS: % ECONOMICALLY DISADVANTAGED,STUDENTS: % ENGLISH LEARNERS (EL),STUDENTS: % SPECIAL EDUCATION,STUDENTS: % BILINGUAL/ESL EDUCATION,STUDENTS: % CAREER & TECHNICAL EDUCATION,STUDENTS: % GIFTED & TALENTED EDUCATION,ATTENDANCE RATE (2020-21),ANNUAL DROPOUT RATE GR. 9-12 (2020-21),4-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2021) DISTRICT EXCL,5-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2020) DISTRICT EXCL, 6-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2019) DISTRICT EXCL,ANNUAL GRADUATE COUNT (2020-21),ANNUAL RHSP/DAP/FHSP-E/FHSP-DLA GRADUATE COUNT (2020-21),STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD, STAAR: % AFRICAN AMERICAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % HISPANIC AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MASTERS GRADE LEVEL STANDARD,STAAR: % WHITE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MASTERS GRADE LEVEL STANDARD,STAAR: % AMERICAN INDIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % ASIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % PACIFIC ISLANDER AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MASTERS GRADE LEVEL STANDARD,STAAR: % TWO OR MORE RACES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % TWO OR MORE RACES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % TWO OR MORE RACES AT MASTERS GRADE LEVEL STANDARD,STAAR: % ECONOMICALLY DISADVANTAGED AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MASTERS GRADE LEVEL STANDARD,COLLEGE ADMISSIONS: % TESTED (2020-2021),COLLEGE ADMISSIONS: % AT/ABOVE CRITERION (2020-2021),SAT-AVERAGE SCORE (2021-2020),ACT-AVERAGE SCORE (2021-2020),TOTAL STAFF FTE,TOTAL TEACHER FTE,STAFF: % CENTRAL ADMINISTRATIVE,STAFF: % SCHOOL ADMINISTRATIVE,STAFF: % PROFESSIONAL SUPPORT,STAFF: % TEACHERS,STAFF: % EDUCATIONAL AIDES,STAFF: % AUXILIARY,AVERAGE SALARY: CENTRAL ADMINISTRATIVE,AVERAGE SALARY: SCHOOL ADMINISTRATIVE,AVERAGE SALARY: PROFESSIONAL SUPPORT,AVERAGE SALARY: TEACHER,STAFF: % MINORITY,NUMBER OF STUDENTS PER TOTAL STAFF,NUMBER OF STUDENTS PER TEACHER,TEACHER: % WITH 5 OR FEWER YEARS OF EXPERIENCE,TEACHER: AVERAGE YEARS OF EXPERIENCE,TEACHER: % WITH ADVANCED DEGREES,TEACHER: TURNOVER RATE,TEACHER: % AFRICAN AMERICAN,TEACHER: % HISPANIC,TEACHER: % WHITE,TEACHER: % AMERICAN INDIAN,TEACHER: % ASIAN,TEACHER: % PACIFIC ISLANDER,TEACHER: % TWO OR MORE RACES,TEACHER: % REGULAR EDUCATION,TEACHER: % SPECIAL EDUCATION,TEACHER: % COMPENSATORY EDUCATION,TEACHER: % BILINGUAL/ESL EDUCATION,TEACHER: % CAREER & TECHNICAL EDUCATION,TEACHER: % OTHER EDUCATION (INCLUDES G & T),TAXABLE VALUE PER PUPIL (2019 TAX YEAR),LOCALLY ADOPTED TAX RATE (2020 TAX YEAR),TOTAL OPERATING AND OTHER REVENUE (2020-21),Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),REVENUE: % STATE,REVENUE: % LOCAL AND OTHER,REVENUE: % FEDERAL,TOTAL OTHER REVENUE(2020-21),FUND BALANCE (FOR ISDS),NET ASSETS (CHARTER SCHOOLS),TOTAL ACTUAL EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES PER PUPIL,EXPENDITURE: % INSTRUCTIONAL,EXPENDITURE: % CENTRAL ADMINISTRATIVE,EXPENDITURE: % SCHOOL LEADERSHIP,EXPENDITURE: % PLANT SERVICES,EXPENDITURE: % OTHER OPERATING,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES PER PUPIL, EXPENDITURE: % BASIC EDUCATION SERVICES,EXPENDITURE: % SPECIAL EDUCATION,EXPENDITURE: % STATE COMPENSATORY EDUCATION,EXPENDITURE: % BILINGUAL/ESL EDUCATION,EXPENDITURE: % CAREER & TECHNICAL EDUCATION, EXPENDITURE: % GIFTED & TALENTED EDUCATION,EXPENDITURE: % ATHLETICS/RELATED ACTIVITIES,EXPENDITURE: % HIGH SCHOOL ALLOTMENT,EXPENDITURE: % PREKINDERGARTEN,EXPENDITURE: % UN-ALLOCATED,DISTRICT SIZE,COMMUNITY TYPE,PROPERTY WEALTH,TAX RATE
AQUILLA ISD,109912,109 HILL,12,A,2,335,0.9,12.2,84.2,0,0,0,2.7,54.3,5.7,16.7,5.7,32.5,9.6,95.4,0,100,100,100,19,16,79,54,23,81,56,25,82,55,25,79,52,17,64,46,26,-1,-1,-1,65,35,13,83,59,26,,,,,,,,,,57,35,13,71,45,17,94.7,38.9,977,-1,49.6,28.4,2,6,1.2,57.2,10.9,22.6,110323,71983,60082,48187,10.9,6.8,11.8,42.4,10.3,11.3,20.2,1.7,6.9,88,0,0,0,3.4,84.3,9.6,0,0,6.1,0,306345,1.271,5489192,17316,5208146,64.1,25.6,10.4,281046,1486672,0,4805689,4290634,13535,55.6,12.7,3.8,12.2,15.7,2385059,7524,43.8,5.2,6.2,0.2,4,0.3,5,0,1.4,33,Under 500,Non-metropolitan Fast Growing,"$298,152 to < $340,843",$1.2148 to under $1.3239
BLUM ISD,109913,109 HILL,12,B,1,344,2.3,10.5,84,0.3,0,0,2.9,60.5,1.7,14.5,1.7,37.2,6.1,96.3,0,100,100,100,32,26,81,53,19,83,61,21,80,47,17,81,51,14,74,46,26,78,56,11,85,60,15,80,51,19,,,,,,,,,,94,63,19,79,52,19,75,29.2,994,,61.1,32.3,1.6,2.5,3.9,52.9,19.4,19.6,137768,74589,64567,49728,6.3,5.6,10.6,32.8,11,10.6,22.1,0,6,91.1,3,0,0,0,67.5,11.5,8.9,0,12,0,570229,1.342,6519624,17862,5736238,48.6,39.4,12,783386,2580553,0,5936304,4123000,11296,52.9,9.6,6.9,11,19.5,2182220,5979,37.7,10.8,10.5,0.1,4.9,0,3.6,0,0.4,29.1,Under 500,Rural,"$539,089 to < $573,876",$1.3239 and over
PENELOPE ISD,109914,109 HILL,12,B,1,198,2.5,32.3,65.2,0,0,0,0,57.6,9.6,18.2,9.6,34.8,1.5,97.2,0,100,100,100,17,13,73,47,16,73,50,14,67,40,15,76,53,16,80,51,23,50,38,13,68,49,15,76,47,16,,,,,,,,,,,,,63,37,9,64.7,27.3,965,,39.8,20,2.5,2.5,1.3,50.3,15.1,28.4,98000,74000,15800,49656,12.6,5,9.9,30,13,10,20.1,0,10,90,0,0,0,0,78.4,4.9,5,0,11.8,0,188404,0.963,3091360,14651,3079360,77,16.4,6.6,12000,48511,0,3201429,2993547,14187,51.1,13.2,5.3,14,16.4,1530796,7255,33.9,5.8,8.9,0.4,5.4,0.3,3.5,0,1.4,36.3,Under 500,Rural,"$164,606 to < $234,712",Under $1.0809
ANTON ISD,110901,110 HOCKLEY,17,B,1,182,3.3,72.5,20.3,0.5,0,0,3.3,80.2,7.1,13.2,6.6,47.3,0.5,95,0,100,100,100,8,8,60,22,6,70,33,9,48,12,2,58,12,0,64,30,18,-1,-1,-1,62,20,4,-1,-1,-1,,,,,,,,,,,,,69,20,6,0,,,,36.1,20.5,2.8,3,1.7,56.6,13.8,22.1,107825,73850,45660,42017,33.2,5,8.9,46.6,7.5,19.2,30.1,4.9,9.8,85.3,0,0,0,0,69.6,4.5,14.1,0,11.2,0.5,385603,1.009,3202671,17406,2957410,58,25.6,16.4,245261,2312471,0,2750604,2696137,14653,47.9,13.1,7.7,15.2,16.1,1291592,7020,26.6,5.8,14.6,0.5,7.2,0.1,4.2,0.6,1.4,37.2,Under 500,Rural,"$359,962 to < $411,857",Under $1.0809
LEVELLAND ISD,110902,110 HOCKLEY,17,B,6,2746,3.2,73.7,21.3,0.2,0.3,0,1.2,73.3,9.3,18.6,8.6,22.4,4.5,95.1,0.6,97.6,96.6,98.4,170,165,74,40,15,73,43,16,72,33,12,79,42,15,77,44,22,61,27,8,72,36,13,85,55,25,67,33,7,91,73,36,,,,72,43,15,70,34,12,85.3,10.3,1084,16.8,425.8,219.2,1.4,3.4,4.3,51.5,20.3,19.1,98736,77474,56601,49114,43.4,6.4,12.5,32.9,11.7,17.9,27.4,3.6,22.1,73.5,0.1,0,0,0.7,69.1,15.9,5,2.1,5.7,2.2,457656,1.296,41348115,14873,35008064,38.9,39.9,21.2,6340051,9394850,0,36989432,32924655,11843,58.4,7.9,4.9,11.5,17.3,19216142,6912,34.3,15.8,12.1,0.9,4,0.1,2.7,0.4,1.6,25.5,"1,600 to 2,999",Non-metropolitan Stable,"$456,750 to < $479,670",$1.2148 to under $1.3239
ROPES ISD,110905,110 HOCKLEY,17,A,1,514,0.6,29.4,69.5,0.2,0,0,0.4,35.4,1.8,6.6,1.8,33.1,6.4,96,0,96.3,100,97,27,27,87,60,27,88,68,32,89,51,23,85,61,17,82,56,33,63,0,0,74,44,14,94,68,33,,,,,,,,,,,,,74,42,14,81.5,50,1045,22.2,86.8,48,1.2,3.5,5.8,55.3,11.4,22.9,135000,83309,54430,48795,23,5.9,10.7,25,15.6,14.6,24.6,0,8.3,87.5,0,0,0,4.2,69.8,2.1,6.5,2.1,13.3,6.3,243391,1.482,7140903,15033,6406722,70.3,22.6,7.2,734181,1620680,0,10462726,5916706,12456,54.8,7.7,6.2,12.4,18.8,3241994,6825,40.1,2.7,10.3,0.1,6.2,0.2,5.5,0,0,28,500 to 999,Non-metropolitan Fast Growing,"$234,712 to < $298,152",$1.3239 and over
SMYER ISD,110906,110 HOCKLEY,17,A,1,416,0.7,45.7,52.2,0,0,0,1.4,51,3.4,12.3,3.4,37.3,8.9,95.6,0,94.9,96.9,100,37,36,79,52,23,84,61,27,75,47,20,77,38,12,76,53,31,-1,-1,-1,77,43,19,82,60,26,,,,,,,,,,-1,-1,-1,71,40,15,89.2,21.2,918,20.4,63.7,41.6,1.6,2.6,4.5,65.2,7.2,18.8,134930,87494,58223,50653,18.6,6.5,10,26,14.7,22.2,7.2,0,9.4,86,0,0,0,4.7,72.7,7,7,0,10.9,2.4,261810,1.046,6196167,15039,6196167,69.8,20.7,9.5,0,4387708,0,5365011,5329835,12936,54.8,8.9,6.1,14.7,15.5,2922427,7093,38.7,6.3,8.3,0.1,5.4,0,4.4,0,1.6,32.2,Under 500,Rural,"$234,712 to < $298,152",Under $1.0809
SUNDOWN ISD,110907,110 HOCKLEY,17,B,4,576,0.5,58.9,38.2,0,0.9,0,1.6,50,4,8.9,4,27.4,11.3,96.8,0,100,100,100,37,35,91,69,32,92,71,35,94,71,37,89,65,13,85,64,33,86,43,14,88,64,29,95,77,36,,,,-1,-1,-1,,,,93,79,29,88,62,22,94.6,22.9,997,-1,103.6,61.9,1.9,4.1,6.4,59.8,8.4,19.3,120175,99492,62476,55030,31.9,5.6,9.3,23.9,15.5,21.2,8.6,1.6,17.8,80.6,0,0,0,0,78.1,3.2,7.3,0,6.8,4.6,1579638,0.966,9104373,16143,8867103,29.8,66.5,3.7,237270,5569588,0,10499663,9404631,16675,58.2,6.2,5.6,14.2,15.8,5472936,9704,48,6.1,5.3,0.1,4.1,0.8,4.8,0,0.4,27.4,500 to 999,Rural,"$1,039,446 to < $1,892,208",Under $1.0809
WHITHARRAL ISD,110908,110 HOCKLEY,17,A,1,236,0.8,39.8,56.4,0.4,0,0,2.5,54.7,0.8,10.6,0.8,38.6,5.5,96.2,0,100,100,100,9,9,86,60,27,87,64,28,81,51,20,90,65,27,89,64,44,,,,80,49,22,90,67,31,,,,,,,,,,100,78,11,77,50,20,33.3,-1,-1,-1,32.5,17.7,3.1,2.1,2.4,54.5,11.9,26.2,100000,75000,59017,53675,38.1,7.3,13.3,16.7,14.8,1.8,22.8,0,5.5,89,5.5,0,0,0,71.8,5.5,5.5,0,14.5,2.7,305510,1.313,2721104,15461,2538406,64.9,28.2,6.9,182698,713269,0,2796242,2462968,13994,53.4,10.1,5.6,13.9,17.1,1314110,7467,43,3.6,7.1,0,5.4,0,4.7,0,1,33.8,Under 500,Rural,"$298,152 to < $340,843",$1.2148 to under $1.3239
LAKE GRANBURY ACADEMY CHARTER SCHOOL,111801,111 HOOD,11,Not Rated,1,51,13.7,43.1,39.2,0,2,0,2,100,11.8,13.7,7.8,15.7,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.9,13.1,13.1,0,60.6,13.1,0,-2,118728,,110560,26.3,16.3,26.9,65.1,7.1,0,79.5,0,21.7,78.3,0,0,0,0,100,0,0,0,0,0,0,0,1210781,17053,1210781,73.6,0,26.4,0,0,100688,1011736,1011736,14250,37.5,11.3,16.6,19.3,15.2,379337,5343,0,0,90.6,0,0,0,0,0,0,9.4,Under 500,Charters,Non-taxing entities,Non-taxing entities
GRANBURY ISD,111901,111 HOOD,11,B,10,7712,1.3,26.2,68,0.3,0.9,0.3,3,52,9.9,14.4,9.7,27.9,8.2,93.2,1.2,95.2,96.5,97.2,438,349,81,55,27,81,59,28,79,49,24,83,56,27,81,56,36,70,32,15,72,42,18,84,60,31,71,52,23,84,67,38,84,43,19,86,61,27,73,44,19,48.4,44.3,1065,21,1032.5,535.5,1,2.7,8.5,51.9,13.4,22.6,120356,80685,69950,56663,12,7.5,14.4,32.2,11.3,24.8,19.5,0.7,9.8,87.5,0.6,0.4,0,0.9,73.8,11.2,2.8,0.9,6.3,5.1,894588,1.111,86772130,11652,76926158,6.6,77.8,15.6,9845972,22875197,0,84364378,73014270,9805,60.5,6.4,5,9,19.1,44140589,5927,43,14.2,6.4,1.8,3.9,0.4,2.2,0,1.3,22.6,"5,000 to 9,999",Other Central City Suburban,"$836,577 to < $949,515",$1.0809 to under $1.2148
LIPAN ISD,111902,111 HOOD,11,A,2,447,0.2,11.9,86.1,0,0,0.2,1.6,51,3.1,8.9,3.4,29.1,3.4,96.3,0.7,96.8,100,100,30,27,83,57,26,84,63,29,81,47,20,85,58,24,85,61,35,,,,72,41,9,85,59,29,,,,,,,,,,75,38,13,77,47,20,20,66.7,-1,22.4,62.5,38.9,1.6,4,9.6,62.3,9.2,13.3,154798,84898,64586,50660,6.2,7.2,11.5,29.9,11.7,22.6,12.9,0,2.6,94.9,2.6,0,0,0,78.8,8.1,0,0,11.3,1.9,578393,1.263,6760511,16369,6018226,52.9,41.2,5.9,742285,2387770,0,7089145,5121839,12402,59.8,10.1,6.8,12.6,10.7,3060536,7410,44.8,5,6.2,1.3,7.9,0.2,2.3,0,1.4,27.4,Under 500,Rural,"$573,876 to < $602,435",$1.2148 to under $1.3239
TOLAR ISD,111903,111 HOOD,11,A,3,847,1.1,7.1,89.4,0.4,0.1,0.4,1.7,45.3,0.1,9.1,0.2,28.1,3.5,96,0,97.8,100,98.2,48,44,86,61,28,84,64,28,87,54,23,89,66,33,89,67,40,83,50,33,81,55,32,87,62,28,100,57,0,,,,80,60,20,85,59,26,83,57,24,79.2,36.8,1002,19.6,111.5,65.4,1.3,2.7,5.8,58.7,8,23.5,110853,77487,57256,51849,5.4,7.6,12.9,22.6,13.9,22.8,21.6,0,2.8,97.2,0,0,0,0,78.5,6.2,0,0,11.3,4,370895,1.27,10714132,13343,9443853,52.6,37.7,9.7,1270279,3230990,0,9286865,8157057,10158,58.3,8.7,6.4,10.4,16.2,4754126,5920,44.1,7.5,7.8,0,6,0,4.3,0.6,1.7,26.4,500 to 999,Rural,"$359,962 to < $411,857",$1.2148 to under $1.3239
SULPHUR SPRINGS ISD,112901,112 HOPKINS,08,B,9,4329,10,29.7,54.1,0.4,0.8,0.2,4.8,59.7,14.9,14.7,16.9,26.7,5.3,94.7,3.6,92,93,93.4,274,258,76,50,25,73,51,24,77,47,24,79,53,24,78,51,33,61,32,11,70,40,17,81,58,32,78,56,11,92,84,59,100,80,40,76,51,23,68,39,17,44.2,32.2,1016,20,701.5,361.9,1.3,2.2,8.2,51.6,18.8,18,101042,75756,61896,50655,19.5,6.2,12,31,12,17.1,16,5.7,8.1,85.3,0,0.3,0,0.6,69.5,5,9.9,3.3,7.4,5,374946,1.251,54952926,12768,50082573,49.3,30.5,20.2,4870353,11032521,0,53585061,48080595,11171,60.7,7.7,3.6,9.8,18.2,29172093,6778,39,11.9,11.9,0.8,4,0.2,2.2,0,1,21.5,"3,000 to 4,999",Independent Town,"$359,962 to < $411,857",$1.2148 to under $1.3239
CUMBY ISD,112905,112 HOPKINS,08,B,2,435,1.1,12.9,80.7,2.1,0,0,3.2,59.8,5.3,15.2,4.8,32.6,3,94.8,2.1,100,96,100,33,26,72,42,17,74,48,17,65,33,17,76,42,15,78,50,24,75,50,13,79,38,20,71,43,18,71,36,14,,,,,,,56,31,6,64,34,11,97,21.9,917,17.5,72.3,41.3,2.8,4.2,3,57.2,12.4,20.5,78866,81880,54354,51125,6.9,6,10.5,26.6,12.6,24.2,12.4,2.4,4.4,93.2,0,0,0,0,76.9,2.5,4.1,0,14.5,1.9,215347,1.149,6211844,14790,6033895,74.1,17.9,7.9,177949,1698208,0,5995154,5181711,12337,55.8,9.8,5.7,11.9,16.8,2890850,6883,36.5,9.8,9.3,0.1,5.4,0.1,6.5,0.2,0.5,29.1,Under 500,Rural,"$164,606 to < $234,712",$1.0809 to under $1.2148
NORTH HOPKINS ISD,112906,112 HOPKINS,08,A,2,535,0.2,23.6,69.3,2.1,0,0.2,4.7,62.2,14,12,13.3,27.9,7.9,95.7,0,100,100,100,45,45,79,51,23,75,54,24,83,46,21,80,46,17,81,60,36,,,,74,40,14,81,54,27,-1,-1,-1,,,,-1,-1,-1,77,46,14,74,43,19,86.7,10.3,,17.6,92.4,46.6,3.2,3.2,3.5,50.4,20.4,19.2,77208,69290,56648,49431,8.5,5.8,11.5,19.5,13.9,14.3,14.9,0,4.3,95.7,0,0,0,0,64.6,4.3,14.6,0,12.7,3.8,183723,1.255,9445248,17018,8375176,73.3,17.2,9.5,1070072,4440421,0,7089812,6438214,11600,58.8,10.2,5.7,10.5,14.8,3785927,6821,35.4,5.4,13.8,0.6,8.5,1.6,2.2,0.3,1.2,28.8,500 to 999,Rural,"$164,606 to < $234,712",$1.2148 to under $1.3239
MILLER GROVE ISD,112907,112 HOPKINS,08,A,1,299,0,17.1,80.9,0,0.3,0.3,1.3,53.5,5.4,11.4,5.4,27.8,0.7,95.9,0,100,100,100,19,19,85,55,20,90,67,30,88,50,18,75,36,6,68,54,7,,,,82,40,7,87,58,22,,,,-1,-1,-1,,,,-1,-1,-1,80,44,14,47.4,11.1,,20.4,51.9,30.3,1.9,9.6,3.8,58.3,11.2,15,99000,60925,58000,51111,1.9,5.8,9.9,19.4,13.5,22.6,20.2,0,3.2,96.8,0,0,0,0,68.8,4,9.6,0.2,9.1,8.3,231471,1.473,4990943,16310,4690153,74.2,18,7.8,300790,1199740,0,5136069,3890328,12713,54.7,8.6,7.4,16.3,12.9,2126965,6951,43.7,5.5,5.4,0.2,4.2,0.4,3.3,0.3,4.1,31.4,Under 500,Rural,"$164,606 to < $234,712",$1.3239 and over
COMO-PICKTON CISD,112908,112 HOPKINS,08,B,1,724,1.5,42.5,52.8,0.6,0.7,0,1.9,65.3,23.6,16.7,23.2,28.2,4.6,95.2,0,97.8,100,100,47,38,75,44,19,80,51,21,72,38,17,72,44,15,68,42,20,31,23,8,67,34,13,82,51,23,-1,-1,-1,100,100,80,,,,63,42,13,70,37,14,51.1,25,,19.5,121.9,62.6,2.3,2.5,8.8,51.4,11.3,23.7,91673,78098,49778,49610,12.2,5.9,11.6,26.7,13.7,23.8,25.1,1.6,8,90.4,0,0,0,0,70,7.6,5.4,0,13.6,3.4,266640,0.966,9483883,13433,9398583,66.9,21.7,11.4,85300,2003775,0,9246128,8785178,12444,59.9,6,4.6,12.4,17.1,5264677,7457,41.3,7.6,8.2,1.8,4.8,0.3,4,0,1.3,27.6,500 to 999,Rural,"$234,712 to < $298,152",Under $1.0809
SALTILLO ISD,112909,112 HOPKINS,08,A,1,244,3.7,29.1,65.6,0,0,0,1.6,59.4,14.3,13.1,14.3,23.4,2.9,97.6,0,100,100,100,18,18,86,52,18,90,56,18,88,57,17,85,43,18,61,36,22,67,33,0,84,48,12,87,54,21,,,,,,,,,,,,,81,48,12,50,22.2,-1,21.9,50.9,25.7,1,6.6,6.8,50.5,19.3,15.9,102999,64106,56091,51019,5.9,4.8,9.5,19.5,16.7,15.1,7.6,0,3.9,96.1,0,0,0,0,74.8,11,3.9,0,10.3,0,287902,0.926,4771473,18860,4733009,58.3,28.8,12.9,38464,1850358,0,4402508,4194887,16581,53.7,11,4.3,11.8,19.1,2253277,8906,37.6,21,5.1,0.3,4.6,0.1,3.1,0.3,1.2,25.1,Under 500,Rural,"$234,712 to < $298,152",Under $1.0809
SULPHUR BLUFF ISD,112910,112 HOPKINS,08,B,1,202,2.5,13.4,82.2,0,0,0,2,45,5,13.9,4.5,50.5,5,95.8,0,100,94.4,100,15,15,80,47,16,78,57,19,84,38,14,85,35,15,70,43,13,70,50,10,78,37,12,81,48,17,,,,,,,,,,80,50,20,70,35,8,66.7,30,990,20.4,43,22.2,4.6,7,2.3,51.5,13.7,20.8,80578,61374,36413,46406,4.6,4.7,9.1,35.5,11.4,11.2,16.7,0,4.4,95.6,0,0,0,0,69,0,13.3,0,14.8,2.9,525057,1.125,3417145,15675,3327224,50.3,41.3,8.4,89921,722980,0,3351463,3066588,14067,48,13.3,7.7,15.7,15.3,1473243,6758,39,6.1,6.8,0.4,4.8,0.4,3.4,0.6,2.1,35.3,Under 500,Rural,"$479,670 to < $526,224",$1.0809 to under $1.2148
CROCKETT ISD,113901,113 HOUSTON,06,C,4,1190,47.7,33.9,13.3,0.3,0.7,0.1,3.9,92.5,19.2,12,19.3,30.6,4.6,93.7,0.3,96.4,98.8,95.8,81,70,63,32,14,65,37,13,55,20,9,65,33,15,76,50,32,53,24,9,71,38,16,81,45,24,,,,75,67,42,-1,-1,-1,48,25,14,61,30,12,42,20.6,937,-1,184.3,87.8,2.2,2.3,6.1,47.6,18.5,23.3,110036,79242,61289,55555,38.1,6.5,13.6,31.4,13.7,33.2,40.9,26.2,6.8,61.5,2.1,1.1,0,2.3,71.6,12.6,4.7,2.6,8.5,0,388790,1.162,20439472,16056,18015849,48.7,30.3,21,2423623,7891503,0,17852382,16313923,12815,49.7,7.9,6.6,12.2,23.6,8114493,6374,27.8,14,12.4,0.7,3.9,0.1,5.5,0,0.6,31.1,"1,000 to 1,599",Non-metropolitan Stable,"$359,962 to < $411,857",$1.0809 to under $1.2148
GRAPELAND ISD,113902,113 HOUSTON,06,B,3,631,20.1,9.4,65.5,0,1.6,0,3.5,63.9,0.8,14.9,0.8,24.4,4.1,94.5,1.6,100,97.8,100,41,31,73,42,17,72,48,19,76,40,17,72,31,10,65,38,16,50,27,6,64,36,10,81,48,22,,,,92,62,15,,,,63,26,0,67,37,13,12.2,40,-1,-1,102.1,46.3,2,3.9,3,45.3,16.4,29.4,90481,51104,53812,51313,17.1,6.2,13.6,46.9,8.1,6.4,33.4,2.1,4.3,91.5,0,0,0,2.1,81.5,2.1,0.8,0,14.7,0.8,609521,1.114,8578205,14250,7738375,41.2,50.6,8.2,839830,5955064,0,7675717,6139806,10199,55,7.7,4.6,12.7,20.1,3376086,5608,31.1,6.2,10.4,0.1,6.7,0.1,4,3.2,3.1,33.4,500 to 999,Non-metropolitan Fast Growing,"$602,435 to < $674,066",$1.0809 to under $1.2148
LOVELADY ISD,113903,113 HOUSTON,06,B,2,504,9.7,12.7,74.2,0.2,0.4,0,2.8,53,0.8,14.7,0.8,40.1,6,97.3,0,100,100,95,29,29,87,53,24,88,64,31,86,42,16,85,50,19,88,55,30,76,35,10,84,48,24,88,56,26,-1,-1,-1,-1,-1,-1,,,,96,57,26,82,47,20,86.2,12,-1,18.6,85.2,49.9,2.1,4.7,4.8,58.6,6.8,22.9,88195,77714,55272,50085,10.9,5.9,10.1,24.1,13.6,22.1,17.7,0,2,98,0,0,0,0,72.3,8.8,2.4,0,14.2,2.3,557488,1.125,7903654,15497,6615725,48.2,44.5,7.3,1287929,2192375,0,10957701,6006597,11778,57.1,10.5,7.1,8.9,16.4,3426643,6719,41.5,5.7,9.7,0,8,0.2,3.7,0,0,28.6,500 to 999,Rural,"$539,089 to < $573,876",$1.0809 to under $1.2148
